#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
252	-136514	-125870	-127348	-145495	-139983	-122967	-123912	-127917	-127755	-128769
253	-136452	-125746	-127419	-145520	-140133	-122998	-123885	-127883	-127751	-128715
254	-136398	-125564	-127473	-145501	-140390	-123036	-123609	-127847	-127543	-128668
255	-136573	-125447	-127661	-145604	-140489	-123020	-123385	-127850	-127277	-128744
256	-136709	-125504	-127793	-145696	-140349	-123215	-123326	-127758	-127167	-128518
257	-136770	-125473	-127970	-145810	-140175	-123306	-123311	-127859	-127312	-128387
258	-136739	-125407	-128013	-145982	-139923	-123233	-123062	-127911	-127206	-128146
259	-136737	-125469	-128089	-146101	-139809	-123329	-122928	-128046	-127459	-127915
260	-136812	-125392	-128253	-146336	-139878	-123277	-122862	-128043	-127602	-127754
261	-136607	-125454	-128308	-146303	-139928	-123477	-122620	-128239	-127658	-127504
262	-136632	-125412	-128388	-146346	-139962	-123490	-122536	-128332	-127798	-127427
263	-136345	-125380	-128606	-146165	-139874	-123576	-122472	-128191	-127875	-127407
264	-136189	-125226	-128449	-146111	-139874	-123712	-122136	-128195	-127813	-127324
265	-135993	-125004	-128456	-145701	-139905	-123654	-121931	-128332	-127645	-127143
266	-136178	-124963	-128400	-145777	-139777	-123650	-121888	-128228	-127603	-127031
267	-136442	-124863	-128075	-145837	-139662	-123485	-121776	-128178	-127529	-126869
268	-136426	-124776	-128089	-145814	-139727	-123531	-121791	-128144	-127355	-126844
269	-136502	-124819	-128014	-145808	-139669	-123317	-121628	-128173	-127258	-126944
270	-136294	-124915	-128062	-145917	-139830	-123500	-121505	-128155	-127150	-126780
271	-136370	-124785	-128228	-145915	-139979	-123515	-121413	-128230	-126904	-126579
272	-136203	-124650	-128285	-145955	-139894	-123751	-121344	-128268	-126948	-126432
273	-136140	-124669	-128206	-145873	-139957	-123736	-121159	-128327	-126908	-126497
274	-136032	-124899	-128191	-146040	-140054	-123918	-121024	-128436	-126946	-126284
275	-136035	-125072	-128196	-146007	-140117	-124050	-120956	-128440	-127043	-125943
276	-136086	-125096	-128036	-146010	-139939	-124044	-120811	-128438	-127177	-125795
277	-136031	-125053	-127907	-146007	-139931	-124046	-120601	-128550	-127302	-125658
278	-135984	-125162	-127887	-146033	-139953	-123675	-120426	-128601	-127332	-125654
279	-135939	-125351	-128222	-146233	-140053	-123645	-120272	-128610	-127246	-125697
280	-135958	-125229	-128061	-146134	-140151	-123366	-120195	-128676	-127376	-125673
281	-136005	-125000	-128331	-145838	-140011	-123405	-120249	-128776	-127435	-125729
282	-136027	-125052	-128365	-145886	-140001	-123434	-120245	-128718	-127288	-125500
283	-136016	-124796	-128418	-145955	-139986	-123424	-120280	-128901	-127273	-125156
284	-135988	-124574	-128355	-146119	-139888	-123342	-120311	-129046	-127459	-124878
285	-135645	-124575	-128198	-146200	-139891	-123335	-120331	-129135	-127486	-124653
286	-135298	-124469	-128420	-146094	-139878	-123362	-120354	-129299	-127498	-124476
287	-135192	-124422	-128357	-146033	-139741	-123433	-120417	-129316	-127301	-124420
288	-135069	-124430	-128050	-145986	-139794	-123455	-120286	-129191	-127251	-124617
289	-134975	-124573	-128218	-145911	-139809	-123424	-120086	-129141	-127215	-124731
290	-134897	-124611	-128277	-145939	-139666	-123169	-120037	-129019	-127080	-124891
291	-134939	-124649	-128197	-145942	-139462	-123240	-120054	-129067	-127174	-124908
292	-135061	-124620	-128093	-145957	-139425	-123002	-119906	-128895	-127328	-124816
293	-135048	-124587	-128071	-146080	-139272	-123028	-119985	-128914	-127402	-124912
294	-134910	-124619	-127981	-146180	-139237	-122781	-119749	-129009	-127307	-124730
295	-134814	-124740	-128130	-145983	-139283	-122771	-119626	-129067	-127373	-124468
296	-134545	-124737	-128158	-146009	-139116	-122870	-119531	-129030	-127327	-124373
297	-134435	-124662	-128162	-146034	-139093	-122797	-119497	-129087	-127286	-124220
298	-134175	-124796	-128269	-145967	-139065	-122802	-119463	-128944	-127187	-124372
299	-133856	-124872	-128439	-146081	-138993	-122949	-119356	-128872	-127227	-124194
300	-133621	-124882	-128352	-145959	-138890	-122835	-119455	-128992	-126929	-124327
301	-133517	-124801	-128294	-146044	-138798	-122728	-119359	-128828	-126819	-124388
302	-133377	-124611	-128258	-146045	-138894	-122580	-119226	-128868	-126737	-124501
303	-133350	-124710	-128103	-146057	-138793	-122539	-119412	-128763	-126687	-124448
304	-133292	-124684	-128035	-146227	-138693	-122591	-119507	-128694	-126614	-124284
305	-133024	-124706	-127743	-146299	-138760	-122455	-119520	-128738	-126621	-124205
306	-132868	-124637	-127623	-146352	-138573	-122477	-119522	-128886	-126721	-124031
307	-132898	-124821	-127548	-146364	-138503	-122702	-119355	-128947	-126926	-123932
308	-132984	-125127	-127561	-146255	-138408	-122609	-119291	-128846	-126979	-123999
309	-133046	-125415	-127663	-146305	-138231	-122673	-119195	-128847	-127063	-124158
310	-132804	-125766	-127632	-146242	-138314	-122362	-119257	-128631	-127086	-124265
311	-132811	-125889	-127513	-145857	-138199	-122126	-119312	-128628	-127072	-124349
312	-132883	-126005	-127440	-145685	-138107	-122241	-119272	-128708	-127114	-124347
313	-132772	-126045	-127262	-145531	-138087	-122347	-119393	-128624	-127115	-124395
314	-132321	-126144	-127449	-145632	-137980	-122262	-119501	-128386	-126991	-124528
315	-132094	-126276	-127456	-145557	-138199	-122266	-119382	-128258	-126879	-124500
316	-131934	-126113	-127447	-145623	-138301	-122081	-119472	-128084	-126690	-124355
317	-132141	-126255	-127494	-145631	-138227	-121821	-119293	-127976	-126670	-124231
318	-132355	-126217	-127277	-145516	-137927	-121749	-119122	-127797	-126545	-124238
319	-132393	-126255	-127276	-145460	-137788	-121831	-119166	-127606	-126601	-124370
320	-132480	-126108	-127246	-145346	-137649	-121758	-119187	-127613	-126821	-124486
321	-132592	-126041	-127391	-145272	-137517	-121553	-119200	-127473	-127029	-124646
322	-132658	-125716	-127264	-145141	-137476	-121302	-119331	-127421	-127167	-124689
323	-132862	-125480	-127226	-145138	-137423	-121456	-119326	-127344	-127281	-124590
324	-132829	-125334	-127169	-145093	-137605	-121466	-119450	-127283	-127470	-124605
